Country,2020,2021,2020
Afghanistan,611.27,,
Albania,5268.24,6373.30,6369.01
Algeria,3304.87,3659.53,4151.44
Andorra,36973.85,41873.06,40722.63
Angola,1873.11,2352.13,3790.70
Antigua and Barbuda,13997.54,14809.48,16786.94
Argentina,8571.94,10616.95,13621.86
Armenia,4267.49,4701.48,5971.82
Aruba,24036.87,28682.80,31990.12
Australia,52952.83,63464.11,66407.60
Austria,48636.30,53332.27,52061.65
Azerbaijan,4240.84,5397.93,6842.03
The Bahamas,25193.92,28792.07,32246.24
Bahrain,23585.91,26135.78,28691.77
Bangladesh,2270.35,2497.74,2734.11
Barbados,16245.06,16817.28,20003.71
Belarus,6515.65,7295.02,8567.35
Belgium,45238.68,51849.34,50597.87
Belize,4791.47,5638.40,6096.32
Benin,1290.50,1417.42,1366.87
Bhutan,3247.93,3245.41,3562.31
Bolivia,3172.56,3449.38,3631.34
Bosnia and Herzegovina,5721.46,6712.17,6818.40
Botswana,6348.81,7337.47,7347.74
Brazil,6840.66,7563.56,8857.47
Brunei Darussalam,26467.80,32573.33,42939.40
Bulgaria,10119.91,11745.57,12505.01
Burkina Faso,831.01,887.28,824.88
Burundi,259.91,273.96,292.62
Cabo Verde,3359.76,3748.98,3600.22
Cambodia,1606.81,1661.75,1771.38
Cameroon,1539.35,1667.32,1584.00
Canada,43306.64,52015.07,56794.02
Central African Republic,494.52,525.15,495.94
Chad,653.09,697.37,743.37
Chile,12968.52,16065.04,15603.61
China,10525.00,12561.69,12970.33
Colombia,5368.32,6158.91,6644.49
Comoros,1357.29,1393.93,1299.68
Democratic Republic of the Congo,536.45,603.23,660.21
Republic of Congo,2206.39,2634.22,2945.10
Costa Rica,12117.61,12435.58,13089.86
Côte d'Ivoire,2279.02,2533.74,2418.44
Croatia,14131.15,16785.33,17318.05
Cyprus,27783.76,30957.17,29534.74
Czech Republic,23001.31,26849.19,28094.62
Denmark,61005.84,68202.07,65713.41
Djibouti,3219.70,3364.91,3665.83
Dominica,6872.22,7280.86,8086.39
Dominican Republic,7553.51,8986.18,10573.15
Ecuador,5670.33,5978.92,6412.73
Egypt,3802.40,4144.42,4504.37
El Salvador,3786.96,4408.47,4883.05
Equatorial Guinea,7181.47,8447.96,11264.42
Eritrea,595.66,611.17,646.96
Estonia,23576.36,27962.28,29343.93
Eswatini,3535.09,4164.80,4056.18
Ethiopia,994.20,995.67,1097.58
Fiji,4976.20,4748.91,5341.29
Finland,49157.63,53774.20,50818.38
France,40377.53,45187.77,42330.45
Gabon,7277.37,9482.51,10281.78
The Gambia,747.89,816.38,846.17
Georgia,4263.13,5014.16,6769.73
Germany,46735.31,51237.64,48397.80
Ghana,2274.57,2521.39,2368.81
Greece,17603.44,20263.29,20875.78
Grenada,9273.20,9856.43,10476.52
Guatemala,4318.64,4687.77,4879.87
Guinea,1015.06,1127.82,1345.57
Guinea-Bissau,838.85,917.86,856.62
Guyana,6952.70,9777.57,18744.63
Haiti,1235.48,1765.24,1672.69
Honduras,2396.65,2816.19,2969.35
Hong Kong SAR,46443.58,49865.35,49699.59
Hungary,16044.09,18732.38,18982.75
Iceland,59578.82,69422.38,73981.34
India,1933.10,2279.51,2465.87
Indonesia,3930.97,4361.16,4691.24
Islamic Republic of Iran,11556.95,18739.31,23033.52
Iraq,4222.11,5021.07,6695.85
Ireland,85225.09,100129.45,102217.44
Israel,44850.44,52151.93,55358.84
Italy,31707.10,35472.80,33739.75
Jamaica,5102.76,5614.81,5870.10
Japan,39981.48,39301.07,34357.86
Jordan,4288.81,4412.03,4666.20
Kazakhstan,9062.96,10306.20,11590.63
Kenya,2072.81,2219.24,2255.48
Kiribati,1519.52,1705.81,1672.82
Korea,31728.30,35003.82,33591.58
Kosovo,4297.83,5126.48,5229.79
Kuwait,22683.64,28665.17,38123.22
Kyrgyz Republic,1195.72,1282.98,1434.87
Lao P.D.R.,2546.10,2513.24,2172.15
Latvia,17622.78,20546.12,21481.52
Lebanon,3588.71,,
Lesotho,999.21,1181.10,1186.74
Liberia,600.46,677.36,735.19
Libya,7056.75,5813.32,6025.68
Lithuania,20216.06,23385.93,24031.62
Luxembourg,117063.65,136701.40,127672.53
Macao SAR,37455.87,43771.84,33608.41
Madagascar,477.55,506.91,521.58
Malawi,567.59,558.87,522.96
Malaysia,10361.28,11407.68,13107.88
Maldives,9882.74,13539.30,15097.15
Mali,863.79,918.13,857.98
Malta,28997.27,33667.37,32912.47
Marshall Islands,4436.45,4637.30,4858.53
Mauritania,2076.43,2332.90,2328.25
Mauritius,8625.90,8827.24,9111.61
Mexico,8528.11,10061.53,10947.98
Micronesia,3935.56,3880.40,4072.08
Moldova,4377.54,5284.91,5528.59
Mongolia,3965.10,4482.85,4541.57
Montenegro,7688.55,9433.03,9849.57
Morocco,3375.27,3934.31,3896.21
Mozambique,454.06,491.84,542.10
Myanmar,1527.43,1216.81,1104.75
Namibia,4224.87,4826.02,4808.92
Nauru,8866.87,10139.07,10004.73
Nepal,1158.55,1208.77,1292.96
Netherlands,52222.36,57996.91,56297.80
New Zealand,41390.93,48317.42,47278.49
Nicaragua,1937.33,2141.01,2375.33
Niger,568.35,595.24,561.22
Nigeria,2083.16,2088.64,2326.23
North Macedonia,5867.16,6713.67,6815.77
Norway,67265.89,89041.59,92645.97
Oman,16640.43,18966.25,23541.51
Pakistan,1376.51,1564.43,1658.36
Palau,14298.60,12331.06,12663.00
Panama,12615.88,14664.31,16172.62
Papua New Guinea,2809.52,3049.94,3427.21
Paraguay,4885.40,5279.39,5615.39
Peru,6145.03,6678.89,7004.79
Philippines,3325.84,3576.10,3597.48
Poland,15801.56,17945.75,19023.23
Portugal,22176.75,24296.07,24910.41
Puerto Rico,32645.40,34751.94,38442.85
Qatar,53797.94,68621.64,82886.79
Romania,12908.81,14794.86,15618.84
Russia,10155.34,12218.70,14665.25
Rwanda,804.19,854.11,912.74
Samoa,4379.31,4224.84,4128.37
San Marino,45640.98,50196.20,47700.04
Sao Tomé and Príncipe,2189.68,2322.08,2230.66
Saudi Arabia,20088.52,23507.28,27941.49
Senegal,1465.24,1606.60,1558.14
Serbia,7699.91,9178.15,9164.27
Seychelles,12981.87,14861.49,20265.68
Sierra Leone,508.81,509.48,493.57
Singapore,60727.62,72794.91,79426.14
Slovak Republic,19254.47,21053.44,20564.86
Slovenia,25604.64,29298.41,29469.39
Solomon Islands,2243.99,2332.98,2239.62
Somalia,465.85,502.21,539.00
South Africa,5661.01,6965.19,6738.93
South Sudan,486.95,364.39,327.90
Spain,27039.18,30089.52,29198.09
Sri Lanka,3893.84,4016.02,3292.57
St. Kitts and Nevis,17179.48,16467.44,19128.58
St. Lucia,8377.89,9287.91,10762.97
St. Vincent and the Grenadines,7878.67,7948.51,8546.10
Sudan,775.26,772.34,916.03
Suriname,4786.83,4680.56,4879.82
Sweden,52706.29,60815.54,56361.43
Switzerland,85870.06,92248.64,92434.49
Syria,,,
Taiwan Province of China,28404.72,33143.01,35513.19
Tajikistan,858.45,905.67,1014.93
Tanzania,1110.37,1177.12,1245.04
Thailand,7159.74,7232.26,7630.87
Timor-Leste,1442.73,1754.41,1792.71
Togo,915.63,993.01,960.83
Tonga,4891.95,4701.21,5008.13
Trinidad and Tobago,15285.94,17055.67,20746.30
Tunisia,3571.83,3897.45,3815.82
Türkiye,8612.31,9654.09,9961.07
Turkmenistan,8775.33,10111.10,11928.80
Tuvalu,5105.93,5833.61,5899.89
Uganda,910.16,1011.75,1105.59
Ukraine,3777.89,4862.12,
United Arab Emirates,36284.56,41205.21,47792.94
United Kingdom,41127.44,47328.78,47317.57
United States,63078.47,69227.11,75179.59
Uruguay,15208.01,16735.29,20017.56
Uzbekistan,1766.47,2002.44,2243.10
Vanuatu,3294.92,2970.16,3049.75
Venezuela,1608.28,2157.32,3051.74
Vietnam,3514.37,3717.80,4162.94
West Bank and Gaza,3044.74,3450.57,3517.36
Yemen,623.23,644.15,873.90
Zambia,959.15,1095.47,1348.36
Zimbabwe,1526.16,2121.57,2420.22
